,Document Title,Publication Year,Publication Title,Authors,Volume,Issue,Start Page,End Page,Abstract,DOI,PDF Link,Author Keywords,IEEE Terms,Article Citation Count,Reference Count,Document Identifier,,,,,,,,,,,,,,,,,,,,,,,,,
EC6,[keynote 2] Paving the way towards nfv: An infrastructure based approach,2017,"2017 International Conference on Networking, Architecture, and Storage (NAS)",T. Li,,,1,2,"Summary form only give, as follows. Provides an abstract of the keynote presentation and a brief professional biography of the presenter. The complete presentation was not made available for publication as part of the conference proceedings. Network Function Virtualization (NFV) is an initiative driven by the largest service providers (SP) to increase the use of virtualization and integrate intelligence into their network infrastructures. NFV leverages virtualization technology and operates network functions on standard servers to fundamentally decouple the customized and inflexible network hardware. Today, NFV provides a plethora of virtual network functions (VNFs), including gateways, mobile core, deep packet inspection (DPI), security, routing, and traffic management that can be combined to deliver the dynamic customized network service chains. Our exploration on both VM-based and container-based VNFs indicates that the service chaining can pose various challenges to NFV implementation on current commercial off-the-shelf (COTS) server. First, we observe that the NFV packet processing on COTS server exhibits a unique processing pattern - heterogeneous software pipeline, where the NFV traffic flows are processed by a variety of software components sequentially. On modern NUMA-based architecture, the end-to-end performance of NFV traffic flows can be severely affected by placing these heterogeneous software components inappropriately. We develop a thread scheduling mechanism that collaboratively places threads of heterogeneous software pipeline to minimize the end-to-end performance slowdown for NFV traffic flows. In the second part, we characterize the light-weight container-based VNF, which is expected to achieve shorter VNF provisioning time and lower resource overheads. However, we observe that the traffic flow processing in the shared host OS network stack involves a large amount of intermediate memory buffers and results in significant last level cache pollution. We propose NetContainer, a framework that achieves a fine-grained hardware resource management for containerized NFV platform. NetContainer exploits a cache access overhead guided page coloring technique to coordinately manage the inter/intra-flow cache access overheads.",10.1109/NAS.2017.8026632,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8026632,,,,,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,Delay-Aware Scheduling and Resource Optimization With Network Function Virtualization,2016,IEEE Transactions on Communications,L. Qu; C. Assi; K. Shaban,64,9,3746,3758,"To accelerate the implementation of network functions/middle boxes and reduce the deployment cost, recently, the concept of network function virtualization (NFV) has emerged and become a topic of much interest attracting the attention of researchers from both industry and academia. Unlike the traditional implementation of network functions, a software-oriented approach for virtual network functions (VNFs) creates more flexible and dynamic network services to meet a more diversified demand. Software-oriented network functions bring along a series of research challenges, such as VNF management and orchestration, service chaining, VNF scheduling for low latency and efficient virtual network resource allocation with NFV infrastructure, among others. In this paper, we study the VNF scheduling problem and the corresponding resource optimization solutions. Here, the VNF scheduling problem is defined as a series of scheduling decisions for network services on network functions and activating the various VNFs to process the arriving traffic. We consider VNF transmission and processing delays and formulate the joint problem of VNF scheduling and traffic steering as a mixed integer linear program. Our objective is to minimize the makespan/latency of the overall VNFs' schedule. Reducing the scheduling latency enables cloud operators to service (and admit) more customers, and cater to services with stringent delay requirements, thereby increasing operators' revenues. Owing to the complexity of the problem, we develop a genetic algorithm-based method for solving the problem efficiently. Finally, the effectiveness of our heuristic algorithm is verified through numerical evaluation. We show that dynamically adjusting the bandwidths on virtual links connecting virtual machines, hosting the network functions, reduces the schedule makespan by 15%-20% in the simulated scenarios.",10.1109/TCOMM.2016.2580150,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7490404,Network function virtualization;scheduling;bandwidth allocation;genetic algorithm,Delays;Optimal scheduling;Bandwidth;Job shop scheduling;Channel allocation,69,30,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Dynamic Embedding and Scheduling of Service Function Chains for Future SDN/NFV-Enabled Networks,2019,IEEE Access,H. Cao; H. Zhu; L. Yang,7,,39721,39730,"Currently, software-defined networking (SDN) and network function virtualization (NFV) are the two most promising approaches for implementing network virtualization (NV). Traditional TCP/IP-based networks (e.g. Internet) will be transformed into SDN/NFV-enabled networks in the foreseeable future. Through virtualization, the slicing of heterogeneous underlying resources will provide an agile and customized virtual network (VN) services to end users. Hence, the virtual network function (VNF) embedding and scheduling are crucial to the VN service deployment in the SDN/NFV-enabled networks. In this paper, the dynamic VNF embedding and scheduling are jointly researched for enhancing the VN service provisioning. At first, the VNF embedding and scheduling are formulated by using the mixed integer linear programming (MILP) model, having the goals of minimizing the consumed underlying resources and providing QoS-guaranteed VN service. Subsequently, to remove the NP-hardness of the MILP model, a dynamic VNF embedding and scheduling algorithm is proposed. For instance, when a new VN service is requested, the VNFs, constituting the service function chain (SFC) of the VN service, will be embedded and scheduled by the proposed algorithm. If the resource and QoS requirements of the VNFs are not satisfied, a re-embedding and re-scheduling scheme will be triggered in order to optimize certain existing VNFs. The dynamic embedding and scheduling algorithm has flexible network function placement and improves the underlying resource utilization. Finally, the simulation results are illustrated to validate the proposed algorithm.",10.1109/ACCESS.2019.2906874,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672853,Future network;network virtualization;SDN;NFV;SFC;VN service;dynamic embedding and scheduling algorithm;QoS-guaranteed;MILP,Dynamic scheduling;Substrates;Heuristic algorithms;Quality of service;Job shop scheduling;Bandwidth,2,20,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,Performant deployment of a virtualised network functions in a data center environment using resource aware scheduling,2015,2015 IFIP/IEEE International Symposium on Integrated Network Management (IM),M. J. McGrath; V. Riccobene; G. Petralia; G. Xilouris; M. Kourtis,,,1131,1132,"The EU funded FP7 project T-NOVA, with the specific goal of accelerating the evolution of NFV, proposes an open architecture to provide Virtual Network Functions as a Service (VNFaaS), together with a dynamic, and flexible platform for the management of Network Services (NSs) composed by those Virtual Network Functions (VNFs). The proposed architecture allows operators to deploy distinct virtualized network functions, not only for their internal operational needs, but also to offer them to their customers, as value-added services. Virtual network appliances (e.g. gateways, proxies or even traffic analyzers) can be provided on-demand, eliminating the need to acquire, install, and maintain specialized hardware at customer premises. This demo illustrates early work carried out on the deployment of a VNF on a Network Function Virtualization Infrastructure (NFVI) using resource aware scheduling methods to ensure optimal use of resources and performance.",10.1109/INM.2015.7140444,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140444,NFV;VNF;virtualisation;NFaaS;T-NOVA,Virtualization;Standards;Home appliances;Computer architecture;Europe;Hardware;Virtual machining,3,2,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Dynamic Embedding and Scheduling of Virtual Network Service for Future Networks,2019,2019 IEEE International Conference on Communications Workshops (ICC Workshops),H. Cao; Y. Zhang; L. Yang,,,1,6,"Software defined networking (SDN) and network function virtualization (NFV) are two most promising approaches for implementing the network virtualization. Traditional Internet will be transformed into SDN/NFVenabled networks in the future. Through virtualization, the heterogeneous underlying resources enable to provide agile and customized virtual network (VN) services to end users. However, virtual network function (VNF) embedding and scheduling are crucial to the VN service deployment in the SDN/NFV-enabled networks. In this paper, dynamic VNF embedding and scheduling are jointly investigated for enhancing the VN service provisioning. At first, the VNF embedding and scheduling problem is formulated, using mixed integer linear programming (MILP) approach. Then, a dynamic VNF embedding and scheduling algorithm is proposed. For instance, when a new VN service is requested, the VNFs, constituting the service function chain (SFC) of the VN service, will be embedded and scheduled by the proposed algorithm. If the resource and QoS requirements of the VNFs are not satisfied, a re-embedding and re-scheduling scheme will be triggered. Certain VNFs will be re-embedded and re-scheduled. The dynamic embedding and scheduling have flexible network function placement and improves the underlying resource utilization. Finally, simulation results are illustrated.",10.1109/ICCW.2019.8756912,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756912,,,,18,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Elastic Virtual Network Function Orchestration Policy Based on Workload Prediction,2019,IEEE Access,Y. Gu; Y. Hu; Y. Ding; J. Lu; J. Xie,7,,96868,96878,"By separating network functions from hardware-dependent middleboxes, network function virtualization (NFV) is expected to lead to significant cost reduction and the flexibility improvement in network management. Elastic orchestration of virtual network functions (VNF) is a key factor to achieve NFV goals. However, most existing VNF orchestration researches are limited to offline policy, ignoring the dynamic characteristics of the workload. To reduce the operational expenditure of NFV providers, this paper proposes an Elastic Virtual Network Function Orchestration (EVNFO) policy based on workload prediction. We adapt the online learning algorithm for predicting the flows rate of service function chains (SFC), which can help to obtain the VNF scaling decision. We further design the online instance provisioning strategy (OIPS) to accomplish the deployment of VNF instances according to the decision. The simulation proves that EVNFO can provide good performance with dynamic resource provision. The throughput of VNF is improved by 11.1%-22.9%, and the total operational expenditure can be reduced by 13.8% compared with other online approaches.",10.1109/ACCESS.2019.2929260,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8764539,Service function chain;scaling;elastic orchestrating;online learning,Prediction algorithms;Optimization;Mathematical model;Network function virtualization;Heuristic algorithms;Middleboxes;Resource management,,32,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,COMPARE: Comparative Advantage driven resource allocation for Virtual Network Functions,2016,2016 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),B. A. Huberman; P. Sharma,,,212,218,"As Communication Service Providers (CSPs) adopt the Network Function Virtualization (NFV) paradigm they need to transition their network function capacity to a virtualized infrastructure with different Network Functions (NFs) running on a set of heterogeneous servers. This paper describes a novel technique for allocating server resources (compute, storage and network) for a given set of Virtual Network Function (VNF) requirements. Our approach helps the telecommunication providers decide the most effective way to run several VNFs on servers with different performance characteristics. Our analysis of prior VNF performance characterization on heterogeneous/different server resource allocations shows that the ability to arbitrarily create many VNFs among different servers' resource allocations leads to a comparative advantage among servers. We propose a VNF resource allocation method called COMPARE that maximizes the total throughput of the system by formulating this resource allocation problem as a comparative advantage problem among heterogeneous servers. There are several applications for using the VNF resource allocation from COMPARE including transitioning current Telco deployments to NFV based solutions and providing initial VNF placement for Service Function Chain (SFC) provisioning. We use analytic proof and illustrative examples to demonstrate optimality of COMPARE algorithm.",10.1109/NFV-SDN.2016.7919500,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919500,,Resource management;Servers;Throughput;Knowledge based systems;Optimization;Conferences,1,22,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,Scheduling Wireless Virtual Networks Functions,2016,IEEE Transactions on Network and Service Management,R. Riggio; A. Bradai; D. Harutyunyan; T. Rasheed; T. Ahmed,13,2,240,252,"Network function virtualization (NFV) sits firmly on the networking evolutionary path. By migrating network functions from dedicated devices to general purpose computing platforms, NFV can help reduce the cost to deploy and operate large IT infrastructures. In particular, NFV is expected to play a pivotal role in mobile networks where significant cost reductions can be obtained by dynamically deploying and scaling virtual network functions (VNFs) in the core network. However, in order to achieve its full potential, NFV needs to extend its reach also to the radio access segment. Here, mobile virtual network operators shall be allowed to request radio access VNFs with custom resource allocation solutions. Such a requirement raises several challenges in terms of performance isolation and resource provisioning. In this work, we formalize the wireless VNF placement problem in the radio access network as an integer linear programming problem and we propose a VNF placement heuristic, named wireless network embedding (WiNE), to solve the problem. Moreover, we present a proof-of-concept implementation of an NFV management and orchestration framework for enterprise WLANs. The proposed architecture builds on a programmable network fabric where pure forwarding nodes are mixed with radio and packet processing capable nodes.",10.1109/TNSM.2016.2549563,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7445873,Network Management;Resource allocation;Virtual Network Embedding;Virtual Network Functions Placement;Network Function Virtualization;Wireless Networks;Network Management;Resource allocation;Virtual Network Embedding;Virtual Network Functions Placement;Network Function Virtualization;Wireless Networks,Substrates;Data structures;Boolean functions;Wireless communication;Mobile computing;Mobile communication;Resource management,45,45,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
OK,A Deep Learning Approach to VNF Resource Prediction using Correlation between VNFs,2019,2019 IEEE Conference on Network Softwarization (NetSoft),H. Kim; S. Jeong; D. Lee; H. Choi; J. Yoo; J. W. Hong,,,444,449,"Software-Defined Networking (SDN) and Network Function Virtualization (NFV) greatly facilitate network service management. Specifically, these new network paradigms help manage the network environment dynamically and cost-efficiently. Virtual Network Function (VNF) and Service Function Chaining (SFC) are important aspects of the NFV environment. In terms of NFV management, resource demand of VNFs can be predicted at a future time to handle Quality of Service (QoS) and resource allocation problems efficiently. Hence, researchers study and build a management system where machine-learning-based predictions of VNF information are used to handle auto-scaling, deployment and migration of VNFs. In addition, in recent studies, these systems have involved SFC to obtain useful information, not just a lone VNF. However, not many of studies explain clearly how chaining dependency among VNFs in a SFC can be used to predict future resource demand of a VNF. In this paper, we introduce VNF resource prediction machine learning model that maximizes the benefits of using SFC. Then, we compare several machine learning models and analyze how SFC data can help predict resource usage patterns of VNFs. We also show benefits of Attention model to improve prediction accuracy and convergence time through experiments.",10.1109/NETSOFT.2019.8806620,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806620,Virtual Network Function;Service Function Chaining;Resource Prediction;Deep Learning,Data models;Machine learning;Predictive models;Intelligent networks;Labeling;Artificial neural networks,,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Reliability-Aware Service Chaining In Carrier-Grade Softwarized Networks,2018,IEEE Journal on Selected Areas in Communications,L. Qu; M. Khabbaz; C. Assi,36,3,558,573,"Network Function Virtualization (NFV) has revolutionized service provisioning in cloud datacenter networks. It enables the complete decoupling of Network Functions (NFs) from the physical hardware middle boxes that network operators deploy for implementing service-specific and strictly ordered NF chains. Precisely, NFV allows for dispatching NFs as instances of plain software called virtual network functions (VNFs) running on virtual machines hosted by one or more industry standard physical machines. Nevertheless, NF softwarization introduces processing vulnerability (e.g., failures caused by hardware or software, and so on). Since any failure of VNFs could break down an entire service chain, thus interrupting the service, the functionality of an NFV-enabled network will require a higher reliability compared with traditional networks. This paper encloses an in-depth investigation of a reliability-aware joint VNF chain placement and flow routing optimization. In order to guarantee the required reliability, an incremental approach is proposed to determine the number of required VNF backups. Through illustration, it is shown herein that the formulated single path routing model can be easily extended to support resource sharing between adjacent backup VNF instances. This paper advocates the absolute existence of a share-resource-based VNF assignment strategy that is capable of trading off all of the reliability, bandwidth, and computing resources consumption of a given service chain. A heuristic is proposed to work around the complexity of the presently formulated integer linear programming (ILP). Thorough numerical analysis and simulations are conducted in order to verify and assert the validity, correctness, and effectiveness of this proposed heuristic reflecting its ability to achieve very close results to those obtained through the resolution of the complex ILP within a negligible amount of time. Above and beyond, the proposed resource-sharing-based VNF placement scheme outperforms existing resource-sharing agnostic schemes by 15. 6% and 14.7% in terms of bandwidth and CPU utilization respectively.",10.1109/JSAC.2018.2815338,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314675,Network functions virtualization;reliability;cloud datacenter;optimization;routing;VNF;NFV,Reliability;Middleboxes;Routing;Hardware;Software;Optimization;Navigation,12,28,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
