,Title,Year,Source title,Authors,Volume,Art. No.,DOI,Link,Document Type,Publication Stage
EC2,KeySFC: Traffic steering using strict source routing for dynamic and efficient network orchestration,2020,Computer Networks,"Dominicini, C.K., Vassoler, G.L., Valentim, R., Villaca, R.S., Ribeiro, M.R.N., Martinello, M., Zambon, E.",167,106975,10.1016/j.comnet.2019.106975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075463519&doi=10.1016%2fj.comnet.2019.106975&partnerID=40&md5=0105e73b3a5d30dfc5a03a87df16a04f,Article,Final
EC5,Dynamic programming of network slices in software-defined metro-core optical networks,2020,Optical Switching and Networking,"Troia, S., Cibari, A., Alvizu, R., Maier, G.",36,100551,10.1016/j.osn.2019.100551,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076500086&doi=10.1016%2fj.osn.2019.100551&partnerID=40&md5=8fd5edf4e2d68ca8534bf55a3222e21f,Article,Final
EC5,Network slicing - enabled RAN management for 5G: Cross layer control based on SDN and SDR,2020,Computer Networks,"Barmpounakis, S., Maroulis, N., Papadakis, M., Tsiatsios, G., Soukaras, D., Alonistioti, N.",166,106987,10.1016/j.comnet.2019.106987,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074891345&doi=10.1016%2fj.comnet.2019.106987&partnerID=40&md5=fa49d4a6315075f0785f2fd492c3307e,Article,Final
EC2,An RBF neural network–based dynamic virtual network embedding algorithm,2019,Concurrency Computation,"Zheng, X., Zhang, Y., Zhang, H., Xue, Q.",31,e4516,10.1002/cpe.4516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074875348&doi=10.1002%2fcpe.4516&partnerID=40&md5=152e66ea6498939240524245528ccd29,Conference Paper,Final
EC4,Impact of the maximum number of switching reconfigurations on the cost saving in network function virtualization environments with elastic optical interconnection,2019,Applied Sciences (Switzerland),"Eramo, V., Lavacca, F.G., Catena, T.",9,5167,10.3390/app9235167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076087963&doi=10.3390%2fapp9235167&partnerID=40&md5=b2b06fd274da4c0efc63c106acb2bad2,Article,Final
OK,Profile-Based Resource Allocation for Virtualized Network Functions,2019,IEEE Transactions on Network and Service Management,"Van Rossem, S., Tavernier, W., Colle, D., Pickavet, M., Demeester, P.",16,8848599,10.1109/TNSM.2019.2943779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076675542&doi=10.1109%2fTNSM.2019.2943779&partnerID=40&md5=440affd33a22845aab18efbe3eba92ae,Article,Final
EC2,Load-balancing and QoS based dynamic resource allocation method for smart gird fiber-wireless networks*,2019,Chinese Journal of Electronics,"Xu, S., Li, P., Qi, F., Guo, S., Zhou, G., Deng, W., Li, Y.",28,,10.1049/cje.2019.08.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075666799&doi=10.1049%2fcje.2019.08.007&partnerID=40&md5=c0672e7d2915b9d0ace1f6fa6aa4c876,Article,Final
OK,Data Driven Resource Allocation for NFV-Based Internet of Things,2019,IEEE Internet of Things Journal,"Tian, X., Huang, W., Yu, Z., Wang, X.",6,8717613,10.1109/JIOT.2019.2916865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073459727&doi=10.1109%2fJIOT.2019.2916865&partnerID=40&md5=9c6040d10fb643a92f775a9a0980ca4f,Article,Final
EC2,Online Elastic Orchestration Policy of Service Function Chain Based on Flow Evolution Perception ,2019,Tien Tzu Hsueh Pao/Acta Electronica Sinica,"Gu, Y.-J., Hu, Y.-X., Ding, Y.-H., Xie, J.-C.",47,,10.3969/j.issn.0372-2112.2019.10.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076496778&doi=10.3969%2fj.issn.0372-2112.2019.10.022&partnerID=40&md5=57967a4b7621f5f7a38e9cee1e871878,Article,Final
OK,Virtual Network Function Dynamic Deployment Algorithm Based on Prediction for 5G Network Slicing,2019,Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,"Tang, L., Zhou, Y., Yang, Y., Zhao, G., Chen, Q.",41,,10.11999/JEIT180894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075661258&doi=10.11999%2fJEIT180894&partnerID=40&md5=fb2c821d1e03f8103da3306c420c8586,Article,Final
EC2,Application Topology-Aware Virtual Network Mapping and Service Provisioning in Programmable Networks,2019,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","Ansah, F., Olaya, S.S.P., De Meer, H., Wollschlaeger, M.",2019-September,8869434,10.1109/ETFA.2019.8869434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074195087&doi=10.1109%2fETFA.2019.8869434&partnerID=40&md5=5d2030f2a90af055146c3b31eaae7525,Conference Paper,Final
EC5,Write Variation Aware Buffer Assignment for Improved Lifetime of Non-Volatile Buffers in On-Chip Interconnects,2019,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"Rani, K., Kapoor, H.K.",27,8764609,10.1109/TVLSI.2019.2922471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071542853&doi=10.1109%2fTVLSI.2019.2922471&partnerID=40&md5=297868e939bf39e75ea37f36ba71903b,Article,Final
OK,Dynamic Auto-scaling of VNFs based on Task Execution Patterns,2019,"2019 20th Asia-Pacific Network Operations and Management Symposium: Management in a Cyber-Physical World, APNOMS 2019","Mehmood, A., Khan, T.A., Diaz Rivera, J.J., Song, W.-C.",,8892836,10.23919/APNOMS.2019.8892836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075299224&doi=10.23919%2fAPNOMS.2019.8892836&partnerID=40&md5=ffd6d07cb524e16b382ae71d835738ac,Conference Paper,Final
EC6,"2019 20th Asia-Pacific Network Operations and Management Symposium: Management in a Cyber-Physical World, APNOMS 2019",2019,"2019 20th Asia-Pacific Network Operations and Management Symposium: Management in a Cyber-Physical World, APNOMS 2019",[No author name available],,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075309880&partnerID=40&md5=03fe9813d9c450429c86d07729ca3a92,Conference Review,Final
EC2,Mapping strategy for virtual networks in one stage,2019,IET Communications,"Cao, H., Wu, S., Guo, Y., Zhu, H., Yang, L.",13,,10.1049/iet-com.2018.6175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071002453&doi=10.1049%2fiet-com.2018.6175&partnerID=40&md5=5a72d7802512880ba610015ebd6648e4,Article,Final
EC2,SAFE: Service availability via failure elimination through VNF scaling,2019,ACM International Conference Proceeding Series,"Xia, R., Dai, H., Zheng, J., Gu, R., Wang, X., Chen, G.",,a54,10.1145/3337821.3337832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071094553&doi=10.1145%2f3337821.3337832&partnerID=40&md5=537b7f716c8bd6fc565baa66333196fc,Conference Paper,Final
EC2,HDSO: A high-performance dynamic service orchestration algorithm in hybrid NFV networks,2019,"Proceedings - 21st IEEE International Conference on High Performance Computing and Communications, 17th IEEE International Conference on Smart City and 5th IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2019","Liang, X., Chen, H.",,8855421,10.1109/HPCC/SmartCity/DSS.2019.00115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073545588&doi=10.1109%2fHPCC%2fSmartCity%2fDSS.2019.00115&partnerID=40&md5=aed5ba08ff66eaf851ad705a10aecb5f,Conference Paper,Final
EC4,Efficient Network Sharing with Asymmetric Constraint Information,2019,IEEE Journal on Selected Areas in Communications,"Zhang, M., Huang, J.",37,8756278,10.1109/JSAC.2019.2927136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068544385&doi=10.1109%2fJSAC.2019.2927136&partnerID=40&md5=b0fba081628f74e72aba9afff1117207,Article,Final
EC4,Industrial-scale stateless network functions,2019,"IEEE International Conference on Cloud Computing, CLOUD","Szalay, M., Nagy, M., Gehberger, D., Kiss, Z., Matray, P., Nemeth, F., Pongracz, G., Retvari, G., Toka, L.",2019-July,8814530,10.1109/CLOUD.2019.00068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072327380&doi=10.1109%2fCLOUD.2019.00068&partnerID=40&md5=24383a36df18f6023f63611042d189d3,Conference Paper,Final
EC5,Multi-virtual wireless mesh networks through multiple channels and interfaces,2019,Wireless Networks,"Marques, C., Kandasamy, S., Sargento, S., Matos, R., Calçada, T., Ricardo, M.",25,,10.1007/s11276-017-1650-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039978419&doi=10.1007%2fs11276-017-1650-7&partnerID=40&md5=164f421d3406d3f69618c2d8b005b6df,Article,Final
OK,Online NFV-Enabled multicasting in mobile edge cloud networks,2019,Proceedings - International Conference on Distributed Computing Systems,"Ma, Y., Liang, W., Wu, J.",2019-July,8885298,10.1109/ICDCS.2019.00086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074855109&doi=10.1109%2fICDCS.2019.00086&partnerID=40&md5=c816972e9f7851416b004596f8682739,Conference Paper,Final
OK,Machine learning-based method for prediction of virtual network function resource demands,2019,"Proceedings of the 2019 IEEE Conference on Network Softwarization: Unleashing the Power of Network Softwarization, NetSoft 2019","Kim, H.-G., Lee, D.-Y., Jeong, S.-Y., Choi, H., Yoo, J.-H., Hong, J.W.-K.",,8806687,10.1109/NETSOFT.2019.8806687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072019564&doi=10.1109%2fNETSOFT.2019.8806687&partnerID=40&md5=08314e1b07f6678ee2548efd16bb6506,Conference Paper,Final
OK,Latency-aware Virtualized Network Function provisioning for distributed edge clouds,2019,Journal of Systems and Software,"Son, J., Buyya, R.",152,,10.1016/j.jss.2019.02.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062071319&doi=10.1016%2fj.jss.2019.02.030&partnerID=40&md5=fb8d16e47bbe1b8299f5704c1e3c640f,Article,Final
