Virtual Network Function Dynamic Deployment Algorithm Based on Prediction for 5G Network Slicing,SCOPUS
Online NFV-Enabled multicasting in mobile edge cloud networks,SCOPUS
Machine learning-based method for prediction of virtual network function resource demands,SCOPUS
Latency-aware Virtualized Network Function provisioning for distributed edge clouds,SCOPUS
ElasticSFC: Auto-scaling techniques for elastic service function chaining in network functions virtualization-based clouds,SCOPUS
On the scaling of virtualized network functions,SCOPUS
A virtual network resource allocation framework based on SR-IOV,SCOPUS
Elastic virtual network function orchestration policy based on workload prediction,SCOPUS
An NFV framework for supporting elastic scaling of service function chain,SCOPUS
Improving Traffic Forecasting for 5G Core Network Scalability: A Machine Learning Approach,SCOPUS
Auto-Scaling VNFs Using Machine Learning to Improve QoS and Reduce Cost,SCOPUS
Data-driven resource flexing for network functions virtualization,SCOPUS
A method for adaptive resource adjustment of dynamic service function chain,SCOPUS
An Efficient Algorithm for Virtual Network Function Scaling,SCOPUS
Dynamic resource allocation based on Q-learning for VNE in Fiber-wireless (FiWi) access network,SCOPUS
An adaptive resource provisioning scheme for effective qos maintenance in the IaaS Cloud,SCOPUS
A neuro-fuzzy approach to self-management of virtual network resources,SCOPUS
Efficient auto-scaling approach in the telco cloud using self-learning algorithm,SCOPUS
OBM - An optimal bandwidth management strategy to virtual machines in cloud environment using predictive analytics,SCOPUS
Dynamic bandwidth allocation for preventing congestion in data center networks,SCOPUS
DaVinci: Dynamically adaptive virtual networks for a customized internet,SCOPUS
GEN: A GPU-Accelerated Elastic Framework for NFV,ACM
Dynamic Resource Allocation Based on Q-Learning for VNE in Fiber-Wireless (FiWi) Access Network,ACM
An Adaptive Resource Provisioning Scheme for Effective QoS Maintenance in the IaaS Cloud,ACM
Dynamic Network Function (DNF): Service Chain Placement and Bottleneck Removal for Edge-Fog-Cloud Interplay,ACM
SAFE: Service Availability via Failure Elimination Through VNF Scaling,ACM
Data-Driven Resource Flexing for Network Functions Visualization,ACM
ORCA: An <u>ORC</U>hestration <u>a</U>utomata for Configuring VNFs,ACM
VOLTAIC: Volume Optimization Layer to Assign Cloud Resources,ACM
VrAIn: A Deep Learning Approach Tailoring Computing and Radio Resources in Virtualized RANs,ACM
Elastic Virtual Network Function Orchestration Policy Based on Workload Prediction,IEEE
A Deep Learning Approach to VNF Resource Prediction using Correlation between VNFs,IEEE
Base Station Popularity-Based Dynamic Resource Allocation for VNF,IEEE
Machine Learning-Based Method for Prediction of Virtual Network Function Resource Demands,IEEE
Elastic Network Service Chain with Fine-Grained Vertical Scaling,IEEE
Resource Aware Chaining and Adaptive Capacity Scaling for Service Function Chains in Distributed Cloud Network,IEEE
Efficient Auto-Scaling Approach in the Telco Cloud Using Self-Learning Algorithm,IEEE
ENSC: Multi-Resource Hybrid Scaling for Elastic Network Service Chain in Clouds,IEEE
Virtualized traffic monitoring function and resource auto-scaling in software-defined networks,IEEE
Customizable Function Chains: Managing Service Chain Variability in Hybrid NFV Networks,IEEE
Proposal and Investigation of a Reconfiguration Cost Aware Policy for Resource Allocation in Multi-Provider NFV Infrastructures Interconnected by Elastic Optical Networks,IEEE
Quality Audit and Resource Brokering for Network Functions Virtualization (NFV) Orchestration in Hybrid Clouds,IEEE
Data Driven Resource Allocation for NFV-Based Internet of Things,IEEE
Dynamic Network Function Instance Scaling Based on Traffic Forecasting and VNF Placement in Operator Data Centers,IEEE
Resource Allocation Methods Considering Residual Link Bandwidth for Service Function Chaining Design,IEEE
Offline SLA-Constrained Deep Learning for 5G Networks Reliable and Dynamic End-to-End Slicing,IEEE
Adaptive Resource Provisioning based on Application State,IEEE
Elastic and Efficient Virtual Network Provisioning for Cloud-Based Multi-tier Applications,IEEE
Optimizing Network Slice Dimensioning via Resource Pricing,IEEE
Autonomic resource arbitration and service-continuable network function migration along service function chains,IEEE
A Method for Adaptive Resource Adjustment of Dynamic Service Function Chain,IEEE
A Dynamic Allocation Algorithm for Physical Carrier Resource in BBU Pool of Virtualized Wireless Network,IEEE
Experimental results on the use of genetic algorithms for scaling virtualized network functions,IEEE
Smart Scaling of the 5G Core Network: An RNN-Based Approach,IEEE
Evaluating allocation paradigms for multi-objective adaptive provisioning in virtualized networks,IEEE
Hysteretic Mechanism for 5G Hybrid Evolved Packet Core Resource Management,IEEE
Joint Optimization of Resource Allocation and Service Performance in vEPC Using Reinforcement Learning,IEEE
Dynamic Reservation and Deep Reinforcement Learning Based Autonomous Resource Slicing for Virtualized Radio Access Networks,IEEE
Network Resource Allocation System for QoE-Aware Delivery of Media Services in 5G Networks,IEEE
